CNA Short Name,CVEs,CNA Cost
mitre,109879,"$10,943,948.40"
redhat,11738,"$1,169,104.80"
microsoft,11632,"$1,158,547.20"
Patchstack,10293,"$1,025,182.80"
oracle,8206,"$817,317.60"
GitHub_M,7914,"$788,234.40"
apple,7434,"$740,426.40"
ibm,7243,"$721,402.80"
VulDB,7027,"$699,889.20"
adobe,6335,"$630,966.00"
Wordfence,6161,"$613,635.60"
Linux,6103,"$607,858.80"
cisco,6000,"$597,600.00"
google_android,4870,"$485,052.00"
WPScan,3830,"$381,468.00"
intel,3663,"$364,834.80"
Chrome,3448,"$343,420.80"
qualcomm,3436,"$342,225.60"
icscert,3282,"$326,887.20"
certcc,3257,"$324,397.20"
jpcert,2858,"$284,656.80"
zdi,2779,"$276,788.40"
talos,2350,"$234,060.00"
mozilla,2133,"$212,446.80"
huawei,2052,"$204,379.20"
dell,1932,"$192,427.20"
apache,1658,"$165,136.80"
siemens,1629,"$162,248.40"
@huntrdev,1585,"$157,866.00"
hackerone,1494,"$148,802.40"
hpe,1405,"$139,938.00"
jenkins,1381,"$137,547.60"
sap,1379,"$137,348.40"
GitLab,1041,"$103,683.60"
fortinet,946,"$94,221.60"
hp,927,"$92,329.20"
juniper,898,"$89,440.80"
MediaTek,836,"$83,265.60"
snyk,827,"$82,369.20"
f5,822,"$81,871.20"
debian,788,"$78,484.80"
Samsung Mobile,788,"$78,484.80"
@huntr_ai,779,"$77,588.40"
nvidia,716,"$71,313.60"
schneider,673,"$67,030.80"
vmware,669,"$66,632.40"
twcert,656,"$65,337.60"
INCIBE,630,"$62,748.00"
Unisoc,605,"$60,258.00"
lenovo,578,"$57,568.80"
atlassian,518,"$51,592.80"
microfocus,516,"$51,393.60"
tenable,509,"$50,696.40"
flexera,503,"$50,098.80"
CERTVDE,493,"$49,102.80"
AMD,456,"$45,417.60"
trendmicro,453,"$45,118.80"
canonical,446,"$44,421.60"
trellix,386,"$38,445.60"
symantec,361,"$35,955.60"
qnap,360,"$35,856.00"
TR-CERT,356,"$35,457.60"
palo_alto,355,"$35,358.00"
Fluid Attacks,324,"$32,270.40"
SamsungMobile,323,"$32,170.80"
HCL,302,"$30,079.20"
autodesk,268,"$26,692.80"
synology,263,"$26,194.80"
Mattermost,250,"$24,900.00"
Google,248,"$24,700.80"
rapid7,246,"$24,501.60"
fedora,241,"$24,003.60"
JetBrains,223,"$22,210.80"
INCD,219,"$21,812.40"
Google_Devices,209,"$20,816.40"
freebsd,205,"$20,418.00"
Mend,196,"$19,521.60"
krcert,196,"$19,521.60"
Nozomi,196,"$19,521.60"
elastic,195,"$19,422.00"
ABB,190,"$18,924.00"
Zoom,179,"$17,828.40"
drupal,178,"$17,728.80"
zte,178,"$17,728.80"
tibco,174,"$17,330.40"
dwf,174,"$17,330.40"
netapp,170,"$16,932.00"
pivotal,160,"$15,936.00"
facebook,159,"$15,836.40"
sonicwall,156,"$15,537.60"
Rockwell,156,"$15,537.60"
suse,155,"$15,438.00"
SolarWinds,154,"$15,338.40"
brocade,152,"$15,139.20"
Kaspersky,151,"$15,039.60"
eclipse,151,"$15,039.60"
Joomla,146,"$14,541.60"
Bitdefender,144,"$14,342.40"
Go,140,"$13,944.00"
Acronis,138,"$13,744.80"
zephyr,136,"$13,545.60"
Zyxel,134,"$13,346.40"
CERT-PL,133,"$13,246.80"
ProgressSoftware,131,"$13,047.60"
OpenHarmony,127,"$12,649.20"
OpenText,126,"$12,549.60"
isc,125,"$12,450.00"
Eaton,124,"$12,350.40"
openssl,123,"$12,250.80"
Esri,122,"$12,151.20"
XEN,121,"$12,051.60"
Mitsubishi,115,"$11,454.00"
Splunk,110,"$10,956.00"
ivanti,107,"$10,657.20"
CERT-In,104,"$10,358.40"
bosch,101,"$10,059.60"
kubernetes,98,"$9,760.80"
GitHub_P,96,"$9,561.60"
checkpoint,96,"$9,561.60"
Gallagher,95,"$9,462.00"
JFROG,95,"$9,462.00"
SICK AG,94,"$9,362.40"
NCSC.ch,93,"$9,262.80"
Hitachi Energy,90,"$8,964.00"
Silabs,84,"$8,366.40"
larry_cashdollar,84,"$8,366.40"
forcepoint,82,"$8,167.20"
